Q_Index,R_Index,Embed_Base,Embed_Means,Embed_Sd,VGG16_Base,VGG16_Means,VGG16_Sd
Q53689,R573993,0.4067,0.3117,0.0549,0.3355,0.2171,0.1097
Q53701,R096252,0.5406,0.3447,0.0611,0.478,0.2723,0.0818
Q53703,R534623,0.667,0.3862,0.0893,0.2594,0.3142,0.0707
Q53708,R957184,0.7584,0.3847,0.0956,0.4366,0.3252,0.0858
Q53717,R050483,0.5755,0.3872,0.0669,0.6158,0.2286,0.0849
Q53718,R483057,0.7412,0.4185,0.1051,0.5334,0.2774,0.0831
Q53736,R201716,0.5381,0.4131,0.101,0.4108,0.2485,0.0844
Q53737,R235095,0.2072,0.1356,0.029,0.4713,0.2831,0.0813
Q53739,R246546,0.5574,0.4063,0.0721,0.1228,0.2324,0.083
Q53740,R888340,0.3294,0.3823,0.0645,0.1381,0.2223,0.0791
Q53742,R081216,0.7809,0.2976,0.0533,0.7393,0.3102,0.1032
Q53751,R339788,0.708,0.413,0.1239,0.3878,0.2969,0.0985
Q53753,R364122,0.4501,0.3678,0.0715,0.2299,0.2498,0.0609
Q53761,R620965,0.3359,0.3368,0.0606,0.297,0.2718,0.0769
Q53773,R889939,0.7188,0.3753,0.0775,0.4829,0.274,0.087
Q53775,R222881,0.8845,0.4408,0.1161,0.8649,0.3534,0.1205
Q53778,R658675,0.749,0.3958,0.1026,0.4323,0.2755,0.0859
Q53783,R582645,0.6929,0.3988,0.1101,0.7591,0.314,0.1212
Q53791,R251553,0.8849,0.2858,0.072,0.6782,0.2781,0.0833
Q53807,R085890,0.4862,0.3965,0.0732,0.3089,0.3242,0.0792
Q53809,R459409,0.649,0.383,0.0736,0.8064,0.2297,0.0689
Q53816,R009200,0.6825,0.3621,0.0694,0.5345,0.2862,0.0843
Q53820,R691366,0.7655,0.3861,0.0978,0.6851,0.2701,0.0924
Q53821,R665404,0.722,0.4457,0.1018,0.869,0.3599,0.1178
Q53822,R613477,0.8103,0.4427,0.1218,0.8371,0.343,0.1176
Q53825,R965601,0.6673,0.414,0.0916,0.3875,0.3068,0.0793
Q53832,R991410,0.6302,0.4245,0.1073,0.5671,0.3277,0.0952
Q53840,R171453,0.5786,0.421,0.071,0.5027,0.3225,0.0912
Q53842,R050973,0.3124,0.3982,0.087,0.4051,0.3429,0.0957
Q53848,R336917,0.6983,0.4491,0.1041,0.3814,0.3052,0.0712
Q53853,R178483,0.1194,0.1356,0.029,0.0855,0.1489,0.0597
Q53859,R820100,0.8943,0.2508,0.044,0.4093,0.2792,0.094
Q53863,R268175,0.4494,0.3724,0.065,0.3995,0.2508,0.0719
Q53864,R813944,0.8931,0.2452,0.0554,0.5442,0.3286,0.0874
Q53866,R213659,0.4844,0.373,0.0733,0.4091,0.2817,0.0828
Q53877,R780530,0.7063,0.456,0.0968,0.8188,0.2897,0.095
Q53880,R882294,0.4885,0.4312,0.0925,0.5946,0.3583,0.0919
Q53886,R268140,0.732,0.3515,0.0823,0.5105,0.2722,0.0724
Q53895,R641543,0.8084,0.2997,0.0519,0.497,0.32,0.1098
Q53909,R163208,0.5887,0.3626,0.06,0.5834,0.2153,0.0804
Q53919,R927358,0.5537,0.3759,0.0664,0.7507,0.2962,0.0837
Q53931,R020786,0.6178,0.3987,0.0794,0.5677,0.2941,0.0994
Q53935,R489712,0.891,0.2889,0.0706,0.852,0.2086,0.0807
Q53939,R778725,0.6284,0.3222,0.0734,0.5867,0.2716,0.0977
Q53950,R949097,0.8515,0.4228,0.1091,0.6655,0.2994,0.1138
Q53951,R188707,0.4292,0.3699,0.0664,0.2156,0.2129,0.0711
Q53966,R350175,0.574,0.3918,0.0767,0.3404,0.3072,0.0782
Q53967,R608721,0.7298,0.4167,0.1165,0.8547,0.3005,0.1172
Q53978,R813358,0.6574,0.4256,0.103,0.6304,0.4074,0.1236
Q54001,R856312,0.7322,0.3991,0.1028,0.854,0.3492,0.1118
Q54025,R123499,0.6036,0.4132,0.0887,0.3368,0.242,0.0781
Q54030,R170096,0.6217,0.3509,0.0739,0.482,0.2644,0.0808
Q54031,R070972,0.8732,0.3108,0.0736,0.8496,0.2838,0.0769
Q54032,R659965,0.6303,0.4199,0.0924,0.4379,0.3315,0.0898
Q54036,R572051,0.7962,0.3871,0.1099,0.667,0.2879,0.1166
Q54043,R040053,0.8887,0.2322,0.0587,0.7594,0.2765,0.0993
Q54060,R386279,0.7386,0.4084,0.1117,0.5919,0.334,0.0988
Q54061,R348574,0.6752,0.3385,0.0693,0.518,0.2846,0.0789
Q54065,R863406,0.5751,0.3974,0.0934,0.4909,0.2763,0.0896
Q54067,R411724,0.8238,0.3129,0.0684,0.6727,0.2596,0.0811
Q54072,R391925,0.9022,0.2778,0.0683,0.92,0.1763,0.0925
Q54073,R766166,0.8533,0.4342,0.105,0.7895,0.3411,0.1008
Q54075,R913271,0.5558,0.3948,0.0802,0.4151,0.2315,0.0681
Q54077,R127859,0.8427,0.3273,0.0644,0.9833,0.2134,0.0829
Q54080,R635061,0.6394,0.4323,0.1063,0.4466,0.2677,0.0902
Q54082,R335470,0.7021,0.3786,0.0815,0.8441,0.2366,0.0861
Q54089,R558657,0.7647,0.419,0.0879,0.6296,0.3226,0.0807
Q54095,R567731,0.4169,0.4067,0.0704,0.5143,0.2529,0.0844
Q54096,R707470,0.3985,0.4162,0.0847,0.3878,0.3513,0.0975
Q54097,R961280,0.6924,0.4496,0.1168,0.667,0.3622,0.1113
Q54100,R692429,0.8393,0.2494,0.07,0.6872,0.2114,0.0912
Q54104,R434235,0.6533,0.3934,0.0779,0.1888,0.2752,0.0829
Q54107,R598025,0.6679,0.4415,0.1122,0.6013,0.3148,0.094
Q54109,R544761,0.1551,0.1356,0.029,0.1055,0.1917,0.0658
Q54113,R541270,0.4662,0.4029,0.0752,0.3898,0.2825,0.075
Q54114,R344108,0.3866,0.3331,0.0626,0.2188,0.3175,0.0842
Q54117,R174504,0.8621,0.412,0.1272,0.9476,0.302,0.1549
Q54118,R672240,0.6424,0.3937,0.0756,0.2976,0.2911,0.092
Q54119,R106599,0.363,0.3066,0.0525,0.1767,0.1991,0.0995
Q54121,R993796,0.2033,0.363,0.0687,0.2108,0.2945,0.0836
Q54122,R979255,0.8464,0.2569,0.0669,0.7102,0.2693,0.0902
Q54132,R132822,0.8235,0.3906,0.1185,0.6363,0.2977,0.1432
Q54142,R393736,0.3273,0.3726,0.0681,0.3447,0.2979,0.0836
Q54145,R855386,0.4284,0.397,0.0614,0.558,0.3428,0.095
Q54148,R279472,0.7922,0.3488,0.0957,0.4544,0.2602,0.0742
Q54150,R867032,0.6555,0.4588,0.1132,0.2804,0.291,0.0719
Q54164,R100490,0.8278,0.4248,0.1119,0.9348,0.3156,0.1256
Q54172,R415722,0.7339,0.4013,0.0794,0.6713,0.3034,0.1044
Q54180,R763400,0.475,0.3692,0.0627,0.2015,0.2107,0.0719
Q54181,R597404,0.6639,0.31,0.0524,0.259,0.1546,0.0634
Q54186,R276606,0.9152,0.3399,0.0849,0.9525,0.2535,0.0776
Q54194,R316765,0.5387,0.4096,0.073,0.3712,0.3301,0.0743
Q54199,R601408,0.4587,0.3977,0.0674,0.3052,0.2442,0.0802
Q54200,R130246,0.7993,0.4097,0.1128,0.7939,0.3496,0.1099
Q54201,R602204,0.1063,0.1356,0.029,0.2242,0.1576,0.0653
Q54204,R353220,0.8915,0.3754,0.0823,0.9678,0.2937,0.0912
Q54205,R480151,0.648,0.3298,0.0746,0.3526,0.2898,0.088
Q54209,R108650,0.4557,0.3164,0.0502,0.7398,0.2936,0.0895
Q54217,R680743,0.3968,0.3093,0.0602,0.3223,0.2345,0.1074
Q54220,R394558,0.4737,0.3917,0.0963,0.3311,0.3387,0.0853
Q54232,R556401,0.7925,0.4429,0.108,0.4689,0.3672,0.1075
Q54247,R342489,0.6486,0.3624,0.0602,0.5773,0.2938,0.0915
Q54252,R089725,0.631,0.4269,0.0919,0.6187,0.3364,0.1114
Q54259,R435921,0.6219,0.4449,0.1105,0.4892,0.3179,0.1056
Q54267,R084428,0.4773,0.4158,0.069,0.257,0.3077,0.0827
Q54268,R633723,0.9095,0.3228,0.0673,0.664,0.2683,0.0794
Q54269,R931411,0.5852,0.4088,0.0939,0.2303,0.2493,0.0799
Q54281,R631877,0.3183,0.3868,0.0622,0.424,0.2286,0.0762
Q54282,R838239,0.529,0.4243,0.0745,0.4295,0.3037,0.0913
Q54283,R513790,0.6207,0.4275,0.0909,0.1874,0.2354,0.0633
Q54292,R726711,0.884,0.3742,0.0852,0.7498,0.2787,0.0872
Q54293,R463365,0.8825,0.3016,0.0847,0.706,0.3263,0.0804
Q54296,R780533,0.4897,0.4023,0.0731,0.339,0.3542,0.0846
Q54305,R239878,0.8727,0.2903,0.0718,0.5218,0.2929,0.0864
Q54306,R548715,0.5051,0.3127,0.0621,0.1462,0.1681,0.0624
Q54309,R284183,0.4894,0.3658,0.0679,0.482,0.354,0.1109
Q54319,R450133,0.8393,0.3501,0.0805,0.8377,0.2045,0.0643
Q54341,R351778,0.2633,0.3867,0.082,0.186,0.2686,0.0739
Q54345,R699112,0.7508,0.3947,0.1097,0.6441,0.2581,0.0886
Q54347,R523659,0.8456,0.3892,0.0814,0.5846,0.2431,0.0918
Q54353,R669118,0.8665,0.326,0.0672,0.7546,0.2534,0.0769
Q54354,R683142,0.3296,0.3856,0.079,0.3282,0.1984,0.0574
Q54359,R219411,0.4394,0.3351,0.0715,0.3454,0.3336,0.0907
Q54362,R155513,0.3087,0.3538,0.0658,0.5393,0.3299,0.0824
Q54373,R829947,0.9372,0.3545,0.0724,0.9061,0.2887,0.0845
Q54378,R204913,0.4992,0.3469,0.0716,0.1805,0.2435,0.0858
Q54381,R425276,0.3979,0.4204,0.088,0.4531,0.3403,0.078
Q54383,R697376,0.444,0.3768,0.062,0.5207,0.3359,0.0882
Q54395,R710026,0.5712,0.3353,0.069,0.5222,0.2657,0.0893
Q54405,R037570,0.8319,0.3825,0.0755,0.7466,0.348,0.1049
Q54409,R463728,0.8581,0.3964,0.1167,0.8238,0.3141,0.1218
Q54415,R410112,0.944,0.3969,0.1092,0.9403,0.3317,0.1403
Q54417,R295474,0.4069,0.3652,0.0583,0.0652,0.1436,0.0601
Q54418,R865376,0.8144,0.4031,0.1064,0.3826,0.2538,0.0719
Q54431,R677642,0.8061,0.2501,0.0689,0.7531,0.2924,0.0943
Q54433,R096478,0.8404,0.4052,0.0871,0.6692,0.3167,0.1001
Q54437,R329988,0.767,0.3826,0.0935,0.1478,0.163,0.1031
Q54444,R537066,0.7683,0.3108,0.07,0.6338,0.2446,0.0868
Q54445,R622451,0.7861,0.3811,0.1128,0.8255,0.313,0.1041
Q54451,R897616,0.3476,0.4224,0.0803,0.4164,0.2704,0.0827
Q54454,R783529,0.3797,0.3906,0.0635,0.4941,0.3063,0.1019
Q54479,R734875,0.8242,0.3009,0.063,0.7996,0.2686,0.0715
Q54485,R456960,0.7463,0.3853,0.1122,0.8801,0.3033,0.1306
Q54490,R714365,0.8193,0.3269,0.0877,0.5954,0.2255,0.0854
Q54497,R811878,0.8157,0.3992,0.0746,0.7116,0.3576,0.0965
Q54501,R366764,0.3875,0.3604,0.0616,0.2334,0.2844,0.0892
Q54504,R391670,0.8003,0.4692,0.1198,0.4796,0.289,0.0806
Q54507,R426212,0.4843,0.401,0.0708,0.3678,0.3924,0.0955
Q54511,R579481,0.4416,0.3812,0.0642,0.5031,0.3262,0.0899
Q54515,R923777,0.8657,0.3818,0.1039,0.425,0.3146,0.0831
Q54525,R961924,0.6824,0.2623,0.0519,0.4293,0.2701,0.0877
Q54526,R832453,0.8468,0.3326,0.0569,0.5035,0.2599,0.0837
Q54528,R988075,0.4686,0.4229,0.0779,0.3923,0.3648,0.1013
Q54541,R716732,0.6304,0.4313,0.1181,0.6381,0.3348,0.1201
Q54549,R484760,0.3611,0.3935,0.0809,0.3794,0.3545,0.0866
Q54551,R717971,0.668,0.4244,0.0915,0.3867,0.3136,0.0812
Q54554,R350596,0.69,0.4076,0.0895,0.4294,0.2903,0.0905
Q54562,R452756,0.7012,0.3977,0.0716,0.661,0.2452,0.078
Q54565,R890477,0.719,0.414,0.0745,0.5246,0.3234,0.0885
Q54573,R068622,0.4765,0.4141,0.0774,0.4831,0.3676,0.0998
Q54577,R609953,0.4967,0.3981,0.093,0.5335,0.3523,0.1077
Q54580,R142699,0.683,0.3975,0.0946,0.4143,0.3482,0.1065
Q54582,R347549,0.3256,0.3428,0.0548,0.262,0.2098,0.0694
Q54586,R268941,0.3326,0.3396,0.0656,0.3581,0.297,0.0731
Q54587,R350751,0.6132,0.4141,0.0935,0.3912,0.3702,0.0968
Q54591,R939370,0.4179,0.3533,0.0707,0.9299,0.286,0.1001
Q54593,R295959,0.7173,0.3891,0.0917,0.6308,0.3384,0.0871
Q54594,R830442,0.6535,0.3686,0.0865,0.6354,0.2325,0.0887
Q54608,R938673,0.6675,0.3993,0.0945,0.6719,0.3328,0.0913
Q54614,R856070,0.8019,0.3754,0.0748,0.5029,0.2796,0.0823
Q54620,R963743,0.5114,0.3296,0.0726,0.5131,0.2501,0.0882
Q54623,R978996,0.5463,0.3425,0.0662,0.1544,0.172,0.0608
Q54624,R549331,0.5761,0.3187,0.0841,0.5414,0.2685,0.0853
Q54632,R949491,0.8187,0.3705,0.0738,0.6784,0.2992,0.1054
Q54641,R759240,0.6532,0.4197,0.1004,0.5251,0.3233,0.0931
Q54650,R296442,0.7024,0.2381,0.0638,0.6099,0.283,0.09
Q54655,R841218,0.7149,0.4487,0.1008,0.6672,0.3253,0.1394
Q54661,R305559,0.4293,0.3989,0.0695,0.311,0.2313,0.0686
Q54668,R941453,0.3874,0.4186,0.1005,0.3692,0.3391,0.1029
Q54677,R435672,0.3449,0.3348,0.0629,0.2786,0.1253,0.0525
Q54679,R970075,0.4054,0.4268,0.0733,0.2836,0.266,0.0732
Q54687,R803601,0.775,0.2613,0.0595,0.7818,0.2232,0.0938
Q54693,R625296,0.3611,0.3322,0.0567,0.2165,0.2609,0.0946
Q54696,R399904,0.7272,0.3991,0.0844,0.7487,0.346,0.0984
Q54697,R515577,0.5325,0.3769,0.0743,0.4497,0.2755,0.0781
Q54717,R742444,0.4904,0.3712,0.0586,0.5071,0.1646,0.1034
Q54720,R663538,0.7702,0.3422,0.0928,0.7933,0.2336,0.0943
Q54734,R529231,0.6174,0.3786,0.0813,0.5034,0.2848,0.1013
Q54735,R626919,0.7733,0.4199,0.0937,0.553,0.343,0.0974
Q54742,R328881,0.7671,0.3336,0.0739,0.9084,0.2253,0.0666
Q54756,R378246,0.7523,0.4461,0.1037,0.7254,0.3356,0.0898
Q54761,R617365,0.7164,0.441,0.0899,0.6119,0.3097,0.0835
Q54766,R856078,0.2705,0.3606,0.0664,0.3954,0.2893,0.0988
Q54773,R667673,0.3069,0.3428,0.0675,0.3167,0.2655,0.081
Q54779,R072025,0.8489,0.3912,0.107,0.8297,0.3365,0.1018
Q54781,R538586,0.7141,0.3881,0.0946,0.6101,0.2901,0.0775
Q54784,R201982,0.3927,0.3839,0.0768,0.1009,0.241,0.073
Q54786,R242573,0.4872,0.3818,0.0663,0.3843,0.285,0.083
Q54788,R737236,0.7157,0.3371,0.0566,0.6077,0.2695,0.095
Q54796,R201917,0.3491,0.2536,0.0525,0.2071,0.1736,0.1173
Q54800,R661048,0.3856,0.3835,0.1034,0.6762,0.2819,0.0896
Q54815,R159583,0.3229,0.3897,0.0765,0.1982,0.2737,0.0722
Q54817,R712153,0.8137,0.4287,0.1196,0.6597,0.2634,0.0912
Q54822,R428221,0.8054,0.4051,0.0904,0.299,0.2597,0.0823
Q54824,R777905,0.4067,0.3858,0.0768,0.4837,0.2905,0.0858
Q54834,R084918,0.7064,0.3784,0.0847,0.4465,0.3486,0.0874
Q54837,R717414,0.3383,0.4042,0.0698,0.3876,0.2217,0.0721
Q54838,R188802,0.7364,0.3507,0.0584,0.7167,0.2969,0.093
Q54839,R776505,0.717,0.402,0.0762,0.6875,0.2985,0.1012
Q54842,R368449,0.7442,0.3803,0.0976,0.5307,0.2621,0.1084
Q54848,R035897,0.823,0.2711,0.0682,0.777,0.3183,0.0849
Q54854,R749006,0.707,0.4128,0.0926,0.8641,0.3424,0.1136
Q54856,R584121,0.8326,0.298,0.064,0.4794,0.3217,0.0959
Q54857,R540686,0.9012,0.4243,0.1173,0.9696,0.3407,0.1312
Q54865,R509677,0.4961,0.3574,0.0662,0.3169,0.3208,0.0936
Q54867,R988845,0.7045,0.3201,0.0712,0.7489,0.3231,0.0983
Q54869,R108428,0.8372,0.3793,0.0841,0.5601,0.3365,0.1044
Q54870,R258559,0.5845,0.3512,0.0772,0.4641,0.2623,0.0787
Q54874,R179534,0.636,0.386,0.0714,0.6016,0.2689,0.0843
Q54875,R527179,0.8179,0.3936,0.0816,0.5452,0.2937,0.0767
Q54876,R592393,0.3939,0.3441,0.0574,0.3574,0.2626,0.0837
Q54878,R647916,0.4849,0.4225,0.0989,0.2215,0.3536,0.1087
Q54883,R874459,0.4655,0.3796,0.0725,0.4393,0.2793,0.0846
Q54889,R717194,0.785,0.436,0.1086,0.6546,0.3184,0.0991
Q54901,R312198,0.2359,0.3243,0.0566,0.4097,0.3055,0.0785
Q54906,R744718,0.5602,0.42,0.1168,0.4017,0.276,0.1048
Q54908,R793512,0.8671,0.4408,0.1321,0.7489,0.3091,0.1096
Q54909,R212987,0.5366,0.4303,0.0816,0.2096,0.3214,0.0772
Q54915,R463704,0.8513,0.3747,0.0933,0.553,0.3043,0.1046
Q54917,R988396,0.6521,0.3778,0.0954,0.3598,0.3146,0.0905
Q54918,R021474,0.374,0.4155,0.0903,0.2724,0.2834,0.067
Q54924,R966593,0.6409,0.4203,0.0977,0.8606,0.3516,0.1098
Q54929,R639720,0.8429,0.3372,0.0645,0.4639,0.2416,0.0904
Q54932,R554401,0.812,0.4005,0.1025,0.9333,0.2626,0.0904
Q54938,R393272,0.7013,0.3687,0.0712,0.4969,0.3245,0.0849
Q54946,R348493,0.8736,0.3225,0.0866,0.2771,0.1463,0.0947
Q54950,R878321,0.9128,0.3849,0.1058,0.589,0.2776,0.0988
Q54952,R927077,0.8861,0.4373,0.1273,0.8142,0.2955,0.1364
Q54955,R841962,0.3407,0.3231,0.0573,0.5356,0.3028,0.0868
Q54959,R914224,0.4804,0.4004,0.067,0.5744,0.3227,0.0977
Q54966,R842462,0.8085,0.4154,0.0816,0.5515,0.2878,0.0767
Q54974,R540609,0.4161,0.4224,0.0944,0.1598,0.3027,0.1026
Q54985,R711645,0.6488,0.4021,0.0788,0.5593,0.3789,0.0827
Q54993,R435499,0.4127,0.3074,0.0542,0.4923,0.2747,0.0996
Q54995,R174432,0.3664,0.3753,0.0644,0.3319,0.2515,0.058
Q55004,R729252,0.3473,0.3317,0.0664,0.4484,0.2678,0.0716
Q55009,R653833,0.8242,0.4319,0.0953,0.6427,0.3333,0.1097
Q55015,R358325,0.5917,0.4209,0.1041,0.1742,0.2516,0.075
Q55019,R647835,0.3711,0.3649,0.0654,0.3161,0.2481,0.0712
Q55024,R938422,0.2927,0.2349,0.0468,0.377,0.2976,0.0935
Q55037,R800670,0.7302,0.4194,0.0953,0.4037,0.2621,0.0789
Q55041,R929774,0.4026,0.4259,0.1024,0.4827,0.3875,0.0952
Q55048,R213205,0.581,0.4037,0.0894,0.4297,0.3079,0.0824
Q55049,R925780,0.6621,0.39,0.0984,0.3034,0.276,0.0805
Q55064,R934176,0.8553,0.3821,0.114,0.9141,0.2806,0.1304
Q55066,R055200,0.8859,0.2091,0.0508,0.9722,0.2467,0.1075
Q55067,R441120,0.5748,0.4014,0.0682,0.554,0.3002,0.0779
Q55070,R468449,0.2562,0.4222,0.1,0.4842,0.3497,0.1248
Q55082,R647247,0.3012,0.316,0.0507,0.4374,0.2371,0.0695
Q55087,R830883,0.8945,0.3529,0.0774,0.9267,0.1844,0.0623
Q55089,R759532,0.5827,0.3531,0.0675,0.6588,0.2469,0.0781
Q55093,R224358,0.8893,0.3413,0.0892,0.5539,0.3171,0.1124
Q55106,R937259,0.3153,0.3291,0.0589,0.277,0.272,0.0715
Q55109,R385455,0.5754,0.3826,0.0834,0.4657,0.3381,0.0927
Q55116,R535592,0.8275,0.4001,0.0992,0.8742,0.3071,0.1063
Q55123,R549440,0.5126,0.423,0.1117,0.3233,0.3466,0.1207
Q55124,R022477,0.4721,0.4018,0.0844,0.6056,0.3077,0.0805
Q55126,R476268,0.6123,0.3804,0.0944,0.446,0.2927,0.0833
Q55133,R775998,0.4601,0.4039,0.0867,0.5547,0.315,0.0824
Q55136,R779050,0.7892,0.4166,0.0857,0.4083,0.2726,0.0873
Q55146,R382936,0.8489,0.3932,0.1092,0.7825,0.2509,0.1076
Q55185,R752868,0.6309,0.4213,0.0935,0.3456,0.2411,0.0766
Q55188,R927942,0.7709,0.3809,0.0863,0.6715,0.2721,0.1018
Q55198,R639929,0.8408,0.4171,0.1318,0.9701,0.3211,0.1526
Q55201,R990356,0.313,0.3625,0.0684,0.2675,0.2904,0.0885
Q55204,R082470,0.6594,0.2348,0.0505,0.8184,0.2026,0.0801
